feature,PSI,KS_stat,KS_p_value,drift_flag
feature_0,0.2707,0.0661,0.9434,True
feature_1,0.1132,0.114,0.4006,True
feature_2,0.1744,0.0775,0.8423,False
feature_3,0.5809,0.1413,0.1744,True
feature_4,0.0157,0.0542,0.9908,False
feature_5,0.3713,0.1254,0.2893,True
feature_6,0.1833,0.1188,0.3485,True
feature_7,0.2854,0.0972,0.6015,True
feature_8,0.0298,0.0831,0.7804,False
